text,label
"Dưới đây là 20 câu văn bản khác nhau thuộc về điều khoản ""Lương & Thưởng"" trong Hợp đồng lao động:",Lương & Thưởng
"Công ty sẽ trả lương cho nhân viên một lần mỗi tháng, vào ngày 25 của tháng trước, vào tài khoản ngân hàng đã thông báo.",Lương & Thưởng
"Số lượng ngày làm việc tối đa trong một tuần là 40 giờ, trong đó bao gồm cả giờ làm thêm.",Lương & Thưởng
Lương cơ bản hàng tháng của nhân viên sẽ được công khai và thông báo trước ngày ký hợp đồng ít nhất 3 ngày làm việc.,Lương & Thưởng
Lương tháng đầu tiên sẽ được trả sau 10 ngày làm việc.,Lương & Thưởng
"Công ty sẽ tăng lương cơ bản hàng năm, tương đương 10% so với lương trước đó, bắt đầu từ ngày ký hợp đồng.",Lương & Thưởng
"Hợp đồng sẽ được xem xét gia hạn khi nhân viên đạt được thành tích tốt, đạt được mục tiêu đặt ra.",Lương & Thưởng
"Nhân viên sẽ được nhận thưởng một lần mỗi năm, vào ngày 31 tháng 12, tùy thuộc vào kết quả kinh doanh của công ty.",Lương & Thưởng
Mức lương tăng hàng năm sẽ được tính trên cơ sở lương cơ bản trước đó.,Lương & Thưởng
Lương giờ làm thêm sẽ được tính theo thời gian và gấp 200% so với lương cơ bản.,Lương & Thưởng
Thời gian làm thêm tối đa trong một tuần sẽ không quá 12 giờ.,Lương & Thưởng
Công ty sẽ cung cấp khoản vay lương lên đến 50% số lương cơ bản một lần.,Lương & Thưởng
Lương cơ bản hàng tháng sẽ được xác định dựa trên cơ sở mức lương tối thiểu theo quy định của pháp luật.,Lương & Thưởng
"Khoản thưởng cuối năm sẽ được chia theo tỷ lệ 60% cho nhân viên có thành tích tốt, 30% cho nhân viên đạt được mục tiêu đặt ra và 10% cho nhân viên có thành tích xuất sắc.",Lương & Thưởng
"Công ty sẽ cung cấp bảo hiểm nhân thọ cho nhân viên, với mức phí được trừ vào lương hàng tháng.",Lương & Thưởng
Mức lương cơ bản hàng tháng sẽ được tăng lên khi nhân viên được công nhận là nhân viên ưu tú.,Lương & Thưởng
Thời gian thử việc sẽ không được tính vào thời gian làm việc đã qua.,Lương & Thưởng
Công ty sẽ cung cấp khoản hỗ trợ chi phí đào tạo lên đến 50% số tiền đào tạo.,Lương & Thưởng
Số lượng ngày nghỉ phép một năm của nhân viên sẽ được xác định theo quy định của pháp luật.,Lương & Thưởng
Khoản tiền thưởng sẽ được tính dựa trên cơ sở mức doanh thu hàng năm của công ty.,Lương & Thưởng
Lương tháng cuối cùng sẽ được trả sau 5 ngày làm việc.,Lương & Thưởng
"Bao gồm các trường hợp tăng lương, thưởng, hỗ trợ và bảo hiểm, sẽ được thông báo trước khi ký hợp đồng ít nhất 7 ngày làm việc.",Lương & Thưởng
"Dưới đây là 20 câu văn bản khác nhau thuộc về điều khoản: ""Thời gian làm việc & Nghỉ ngơi"" trong Hợp đồng lao động:",Thời gian làm việc & Nghỉ ngơi
Thời gian làm việc của công ty bắt đầu từ 8h00 và kết thúc tại 17h00 hàng ngày.,Thời gian làm việc & Nghỉ ngơi
"Việc sắp xếp thời gian làm việc, nghỉ ngơi và các phúc lợi khác sẽ được điều chỉnh dựa trên nhu cầu của công ty.",Thời gian làm việc & Nghỉ ngơi
Nhân viên cần có mặt tại công ty trước 08h30 để làm thủ tục kiểm tra và chuẩn bị.,Thời gian làm việc & Nghỉ ngơi
Công ty có quyền yêu cầu nhân viên làm thêm giờ ngoài thời gian quy định nếu có yêu cầu từ phía khách hàng.,Thời gian làm việc & Nghỉ ngơi
"Thời gian làm thêm giờ không được quá 2 giờ/tuần, trừ trường hợp đặc biệt được sự đồng ý của người quản lý.",Thời gian làm việc & Nghỉ ngơi
Công ty sẽ đảm bảo cho nhân viên được nghỉ trưa từ 12h00 đến 13h00 mỗi ngày.,Thời gian làm việc & Nghỉ ngơi
Nhân viên cần phải có mặt tại công ty ít nhất 3 ngày trong tuần để đảm bảo quá trình công việc được thực hiện một cách trơn tru.,Thời gian làm việc & Nghỉ ngơi
Thời gian làm việc của công ty sẽ được điều chỉnh tùy theo nhu cầu của mùa vụ.,Thời gian làm việc & Nghỉ ngơi
Nhân viên cần làm việc hiệu suất cao để đáp ứng được yêu cầu của khách hàng.,Thời gian làm việc & Nghỉ ngơi
Thời gian làm thêm giờ sẽ được tính thêm vào thời gian làm việc của nhân viên vào cuối tháng.,Thời gian làm việc & Nghỉ ngơi
Công ty cam kết sẽ tạo điều kiện tốt nhất cho nhân viên nghỉ ngơi và làm việc trong môi trường chuyên nghiệp.,Thời gian làm việc & Nghỉ ngơi
"Nhân viên được phép nghỉ phép từ 2 đến 5 ngày trong 1 năm, tùy thuộc vào mức độ hoàn thành công việc.",Thời gian làm việc & Nghỉ ngơi
Công ty sẽ hỗ trợ nhân viên để giải quyết các vấn đề cá nhân xảy ra trong quá trình làm việc.,Thời gian làm việc & Nghỉ ngơi
Công ty sẽ không thể trả lương cho nhân viên nếu họ không có mặt tại công ty đúng giờ vào ngày làm việc.,Thời gian làm việc & Nghỉ ngơi
Nhân viên cần phải tuân thủ các quy định và quy trình làm việc đã được công ty nêu rõ để đảm bảo quá trình công việc được trơn tru.,Thời gian làm việc & Nghỉ ngơi
Thời gian làm việc của nhân viên trong 1 tháng sẽ bao gồm cả thời gian làm thêm.,Thời gian làm việc & Nghỉ ngơi
Công ty sẽ đảm bảo cho nhân viên được nghỉ phép năm vào ngày nghỉ lễ.,Thời gian làm việc & Nghỉ ngơi
Nhân viên được phép xin nghỉ phép không hưởng lương trong trường hợp khẩn cấp.,Thời gian làm việc & Nghỉ ngơi
"Công ty sẽ đưa ra các chương trình nghỉ mát, nghỉ dưỡng và các phúc lợi khác để khuyến khích nhân viên làm việc hiệu suất cao.",Thời gian làm việc & Nghỉ ngơi
Thời gian làm việc của nhân viên phải được thông báo cho công ty trước ít nhất 1 ngày để công ty có kế hoạch sắp xếp phù hợp.,Thời gian làm việc & Nghỉ ngơi
Công ty sẽ không thể trả lương cho nhân viên nếu họ không hoàn thành được nhiệm vụ công việc được giao.,Thời gian làm việc & Nghỉ ngơi
"Dưới đây là 20 câu văn bản khác nhau thuộc về điều khoản ""Bảo hiểm & Phúc lợi"" trong Hợp đồng lao động:",Bảo hiểm & Phúc lợi
"1. Công ty có trách nhiệm bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thất nghiệp cho nhân viên theo quy định của pháp luật và thỏa thuận này.",Bảo hiểm & Phúc lợi
2. Mức bảo hiểm xã hội và bảo hiểm y tế được tính trên mức lương cơ sở và các trợ cấp khác.,Bảo hiểm & Phúc lợi
"3. Công ty sẽ chi trả toàn bộ chi phí bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thất nghiệp cho nhân viên.",Bảo hiểm & Phúc lợi
4. Thời gian hưởng bảo hiểm xã hội và bảo hiểm y tế được tính từ ngày 01 tháng 01 đến ngày 31 tháng 12 hàng năm.,Bảo hiểm & Phúc lợi
5. Số tiền bảo hiểm thất nghiệp tối thiểu được tính là 03 tháng tiền lương cơ sở.,Bảo hiểm & Phúc lợi
